MUN_LPI;latitude;longitude
ITAGUARU;-15.7613695;-49.6337242
JUÍNA;-11.4230908;-58.7570212
SERRANÓPOLIS;-18.3084565;-51.9569462
CABECEIRAS;-15.7995459;-46.9264991
ALEXÂNIA;-16.0834049;-48.5077803
CACHOEIRA DE GOIÁS;-16.6688414;-50.6435997
PLÁCIDO DE CASTRO;-10.3239154;-67.1824196
NOVA SERRANA;-19.875834;-44.984166
CONCEIÇÃO DO PARÁ;-19.752222;-44.896944
LUZ;-19.7903123;-45.6818948
SÃO GOTARDO;-19.3168844;-46.0476596
PARÁ DE MINAS;-19.8668656;-44.5912664
GOIANÉSIA DO PARÁ;-3.8380998;-49.0977992
COMODORO;-13.6581107;-59.786883
MATERLÂNDIA;-18.473889;-43.06
TAPURAH;-12.742385;-56.512037
URUCURITUBA;-3.1304332;-58.1549157
TANGARÁ DA SERRA;-14.6213903;-57.4907268
ÁGUA CLARA;-20.4385757;-52.8797496
MARZAGÃO;-17.980597;-48.6430322
CATALÃO;-18.1702546;-47.9447082
UNAÍ;-16.3628767;-46.892413
RIBAS DO RIO PARDO;-20.4477984;-53.7609001
BOSSOROCA;-28.7278885;-54.9120278
ESPUMOSO;-28.7256962;-52.8453751
SANTA CRUZ DO SUL;-29.714209;-52.4285807
AVARÉ;-23.1045215;-48.9259103
FELIZ NATAL;-12.3802463;-54.9389793
UBÁ;-21.12;-42.942777
BAGRE;-1.8994498;-50.2103844
ACARÁ;-1.961388;-48.1987043
ENTRE FOLHAS;-19.6258823;-42.2328975
SANTANA DO MANHUAÇU;-20.1075;-41.925556
SÃO JOSÉ DO JACURI;-18.2773091;-42.6714372
ITANHOMI;-19.171111;-41.864167
COLUNA;-18.2327272;-42.8402912
NANUQUE;-17.8393915;-40.3494631
ÁGUA BOA;-17.9956411;-42.3899261
MINAS NOVAS;-17.2174817;-42.5948698
VARGEM BONITA;-20.3282116;-46.3668419
ALVARENGA;-19.4175;-41.728334
SANTA BÁRBARA DO LESTE;-19.978334;-42.140555
SÃO JOSÉ DO MANTIMENTO;-20.003958;-41.7458061
MUTUM;-19.817223;-41.438333
SANTA MARIA DO SUAÇUÍ;-18.1894783;-42.4188445
BAIXO GUANDU;-19.5138322;-41.0182089
ITAGUAÇU;-19.8032523;-40.8564458
CARAÍ;-17.1884104;-41.6976554
CHALÉ;-20.0419425;-41.6909618
SANTA CRUZ DO RIO PARDO;-22.9060715;-49.6277378
CASTELO;-20.6022098;-41.2032124
PEÇANHA;-18.5479498;-42.5590434
DURANDÉ;-20.2026282;-41.798777
MOCOCA;-21.464731;-47.002405
FELÍCIO DOS SANTOS;-18.0765035;-43.2471128
MARTINS SOARES;-20.2574182;-41.8771753
IBITIRAMA;-20.5394377;-41.6644451
MATIPÓ;-20.2896695;-42.3426599
FRANCISCÓPOLIS;-17.9591636;-42.0088582
ALTO RIO NOVO;-19.0577208;-41.0171518
CACHOEIRO DE ITAPEMIRIM;-20.848084;-41.11129
CONSELHEIRO PENA;-19.1720883;-41.471995
SÃO ROQUE DE MINAS;-20.245277;-46.365833
RAUL SOARES;-20.102222;-42.451944
MUQUI;-20.9509368;-41.3444285
ÁGUAS DA PRATA;-21.9464285;-46.7192121
JEQUITINHONHA;-16.4335098;-41.0035557
CAPELINHA;-17.693889;-42.518611
VITÓRIA;42.8465088;-2.6724025
ANCHIETA;-20.8057672;-40.6454564
DIVINO;-20.6151497;-42.1474733
SÃO FIDÉLIS;-21.6467054;-41.7463412
GUARAPARI;-20.6718755;-40.4984617
BOM JESUS DO ITABAPOANA;-21.1351354;-41.6798294
AUTAZES;-3.5833283;-59.1301518
ITAIPÉ;-17.401944;-41.670278
CORONEL FABRICIANO;-19.5200067;-42.6282686
GUAPIMIRIM;-22.5266308;-42.9790687
RIO PIRACICABA;-19.5411584;-42.6749775
SÃO GONÇALO DO RIO ABAIXO;-19.8252042;-43.362126
ITABIRITO;-20.2519724;-43.8029171
SANTA LUZIA;-19.7702097;-43.8505291
NATÉRCIA;-22.12;-45.511389
SANTANA DO DESERTO;-21.95;-43.166667
AMPARO DO SERRA;-20.5070255;-42.8028462
ITAGUARA;-20.391389;-44.488055
ITAÚNA;-20.075556;-44.576389
RIO POMBA;-21.275;-43.178889
SENADOR FIRMINO;-20.9169703;-43.1001236
ACAIACA;-20.3621646;-43.1444162
POÁ;-23.5249082;-46.3445663
SÃO SEBASTIÃO DA BELA VISTA;-22.159167;-45.754167
VOLTA REDONDA;-22.521856;-44.1040128
PORTO FELIZ;-23.2110713;-47.5247163
PAULA CÂNDIDO;-20.8737735;-42.9862733
CARMÓPOLIS DE MINAS;-20.541224;-44.6350611
DIOGO DE VASCONCELOS;-20.4868723;-43.1984645
SÃO MIGUEL DO ANTA;-20.7065375;-42.7195395
SÃO GONÇALO;-22.821635;-42.9956797
SANTANA DOS MONTES;-20.7875735;-43.6910376
MOEDA;-20.333056;-44.0525
NITERÓI;-22.8884;-43.1147
NOVA IGUAÇU;-22.7592175;-43.4508728
CARANDAÍ;-20.9526569;-43.8066788
CIPOTÂNEA;-20.905278;-43.365556
NOVA UNIÃO;-19.6901893;-43.580107
RIO ESPERA;-20.8571756;-43.4729342
SÃO GONÇALO DO SAPUCAÍ;-21.8905238;-45.5935943
MANGARATIBA;-22.9415964;-44.1181916
ITABORAÍ;-22.7558128;-42.8829561
GUARANI;-21.35876;-43.0481021
MERCÊS;-21.1947265;-43.3407272
CONSOLAÇÃO;-22.551389;-45.921111
JOÃO MONLEVADE;-19.809444;-43.173334
PEDRO LEOPOLDO;-19.617778;-44.043055
BELO HORIZONTE;-19.9227318;-43.9450948
SÃO VICENTE;-23.9664177;-46.3861401
NATIVIDADE DA SERRA;-23.3783786;-45.4438173
ITALVA;-21.4221815;-41.6912044
BOM JARDIM;-22.1515328;-42.4186683
CAREAÇU;-22.0434124;-45.6995247
SALTO DE PIRAPORA;-23.6492502;-47.5729465
DIVINÓPOLIS;-20.1597921;-44.8739341
LAMBARI;-21.9754009;-45.3505415
ITUPEVA;-23.1531055;-47.0580347
SANTA BÁRBARA DO MONTE VERDE;-21.9578146;-43.7024953
SANTA RITA DO SAPUCAÍ;-22.2486968;-45.7064507
VESPASIANO;-19.6940958;-43.9186521
BOM JESUS DO AMPARO;-19.7045132;-43.4752911
RESSAQUINHA;-21.063056;-43.762778
BARROSO;-21.187137;-43.9771259
CAMBUQUIRA;-21.853056;-45.2953619
IGUAPE;-24.7042692;-47.5563733
SÃO LOURENÇO DA SERRA;-23.8535923;-46.9440587
TAPIRAÍ;-23.9638345;-47.5067136
PEDRO DE TOLEDO;-24.2769071;-47.23393
PINHEIRAL;-22.5129436;-44.001435
SILVEIRAS;-22.66384;-44.852157
JACUTINGA;-22.285833;-46.612222
ITAPIRA;-22.436111;-46.821667
MURIAÉ;-21.1313485;-42.3628918
LONDRINA;-23.6916604;-46.5861666
TREMEMBÉ;-22.95714;-45.547526
NATAL;-5.7980924;-35.2364029
SANTA RITA DO PASSA QUATRO;-21.7103738;-47.4777943
